Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount Percent
MOTOROLA,55 inch,Ultra HD (4K),Mini LED,Google TV,4.4,393,48,41999.0,69999.0,40.0
SAMSUNG,55 inch,Ultra HD (4K),LED,Tizen,4.4,26313,2614,42990.0,70900.0,39.0
REDMI,32 inch,HD Ready,LED,FireTv OS 7,4.2,9933,627,13499.0,24999.0,46.0
SAMSUNG,65 inch,Ultra HD (4K),LED,Tizen,4.3,38242,3024,59999.0,109900.0,45.0
Sansui,43 inch,Ultra HD (4K),LED,Google TV,4.0,5,1,26990.0,41990.0,35.0
SENS,55 inch,Ultra HD (4K),LED,Android,4.2,4207,598,28999.0,56790.0,48.0
SONY,43 inch,Ultra HD (4K),LED,Google TV,4.6,25345,4410,38990.0,59900.0,34.0
Hisense,55 inch,Ultra HD (4K),LED,Google TV,4.3,7337,893,35999.0,69990.0,48.0
BPL,32 inch,HD Ready,LED,Android,4.2,30,0,12399.0,20000.0,38.0
Panasonic,32 inch,HD Ready,LED,Android,4.0,25,4,15249.0,19990.0,23.0
IMPEX,32 inch,HD Ready,LED,Linux,4.0,183,9,9599.0,17990.0,46.0
Hisense,75 inch,Ultra HD (4K),QLED,Google TV,4.3,2135,407,96999.0,149999.0,35.0
iFFALCON,43 inch,Ultra HD (4K),LED,Google TV,4.2,68411,7625,18999.0,49990.0,61.0
LG,32 inch,Full HD,LED,WebOS,4.4,107,8,15890.0,21728.0,26.0
Hisense,50 inch,Ultra HD (4K),QLED,Google TV,4.3,2135,407,39890.0,59990.0,33.0
Acer,32 inch,HD Ready,QLED,Google TV,4.0,4415,429,16490.0,23990.0,31.0
Foxsky,55 inch,Ultra HD (4K),LED,Android,3.7,160,36,27999.0,97990.0,71.0
LG,55 inch,Ultra HD (4K),QNED,WebOS,4.6,123,12,69990.0,109990.0,36.0
TCL,75 inch,Ultra HD (4K),LED,Google TV,4.1,24978,2097,66990.0,254990.0,73.0
KODAK,65 inch,Ultra HD (4K),QLED,Google TV,4.5,4415,901,43999.0,84999.0,48.0
Admiral,32 inch,HD Ready,LED,Google TV,4.4,510,80,8999.0,13799.0,34.0
Reliance,43 inch,Ultra HD (4K),QLED,WebOS,5.0,4,1,22690.0,51990.0,56.0
iFFALCON,65 inch,Ultra HD (4K),QLED,Google TV,4.2,3489,407,49999.0,164990.0,69.0
Sansui,32 inch,HD Ready,LED,Coolita,4.2,58,6,11200.0,19999.0,43.0
SAMSUNG,43 inch,Ultra HD (4K),LED,Tizen,4.4,26313,2614,28490.0,47900.0,40.0
Hisense,55 inch,Ultra HD (4K),LED,Google TV,4.3,7337,893,38999.0,69999.0,44.0
Daiwa,43 inch,Ultra HD (4K),QLED,WebOS,4.1,905,209,21999.0,48990.0,55.0
Hisense,55 inch,Ultra HD (4K),LED,Google TV,4.3,8796,1235,34999.0,64999.0,46.0
HUIDI,43 inch,Full HD,LED,Android,3.8,2095,181,14999.0,36999.0,59.0
