Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount
Sansui,32 inch,HD Ready,LED,Linux,4.2,711,87,"₹9,990","₹19,990",50% off
Thomson,55 inch,Ultra HD (4K),LED,Android,4.5,"40,044","9,550","₹27,999","₹54,999",49% off
Mi,55 inch,Ultra HD (4K),LED,Google TV,4.3,"29,031","2,850","₹45,999","₹69,999",34% off
TOSHIBA,65 inch,Ultra HD (4K),QLED,VIDAA,4.3,"5,469",904,"₹56,999","₹89,999",36% off
SONY,43 inch,Ultra HD (4K),LED,Google TV,4.7,"2,555",369,"₹45,590","₹69,900",34% off
KODAK,32 inch,HD Ready,LED,Android,4.4,"39,316","7,634","₹9,999","₹18,499",45% off
TOSHIBA,43 inch,Ultra HD (4K),QLED,VIDAA,4.3,"5,469",904,"₹28,999","₹45,999",36% off
Reliance,32 inch,HD Ready,LED,Android,3.8,75,3,"₹10,960","₹21,490",48% off
Vu,65 inch,Ultra HD (4K),LED,Google TV,4.2,"4,229",709,"₹45,999","₹75,000",38% off
Foxsky,50 inch,Ultra HD (4K),LED,Android,3.7,160,36,"₹23,999","₹82,990",71% off
Thomson,43 inch,Ultra HD (4K),LED,Android,4.3,"26,869","5,534","₹18,999","₹33,999",44% off
Sansui,32 inch,HD Ready,LED,Android,4.1,57,6,"₹10,829","₹19,990",45% off
Sansui,86 inch,Ultra HD (4K),LED,Android,4.7,3,0,"₹1,67,999","₹2,19,000",23% off
InnoQ,24 inch,HD Ready,LED,,3.9,"4,206",483,"₹5,290","₹19,990",73% off
Sansui,70 inch,Ultra HD (4K),LED,Google TV,4.2,"2,482",228,"₹59,999","₹96,900",38% off
SAMSUNG,32 inch,HD Ready,LED,Tizen,4.2,224,21,"₹18,999","₹23,990",20% off
XElectron,24 inch,HD Ready,LED,,4.1,810,156,"₹5,699","₹13,999",59% off
Coocaa,43 inch,Full HD,LED,Google TV,4.2,"1,323",212,"₹18,999","₹39,990",52% off
Acer,32 inch,HD Ready,QLED,Google TV,4,"4,415",429,"₹12,999","₹23,999",45% off
Panasonic,55 inch,Ultra HD (4K),LED,Google TV,4.3,"8,785","1,207","₹44,990","₹62,990",28% off
